номер_листа;обозначение_линии;длина_мм;длина_м;формула;статус;замечания
185;CO_0103;19637;19,637;600 + 2895 + 2032 + 5161 + 2865 + 3030 + 75 + 218 + 45 + 1107 + 1125 + 240 + 244 = 19637 мм;ok;"локальная модель, без API; авто: D13 вернул длину, D14 вернул длину, D15 вернул длину; авто: D1 внутри D2, D4 внутри D6, D7 внутри D5, D14 внутри D11; ручной визуальный аудит; авто: D4 вернул участок, D7 вернул участок, D14 вернул участок"
186;IA_0002;10265;10,265;505 + 130 + 1465 + 217 + 239 + 350 + 590 + 343 + 217 + 2537 + 1237 + 1855 + 355 + 225 = 10265 мм;ok;"локальная модель, без API; авто: D12 штурвал, D8 вернул длину, D9 вернул длину, D17 вернул длину; авто: D8 внутри D9, D9 внутри D15; авто: D9 вернул полный участок; ручной визуальный аудит; авто: D9 внутри участка, D9 вернул полный участок; авто: D9 внутри участка, D9 вернул полный участок"
187;IA_0003;3405;3,405;153 + 140 + 209 + 209 + 50 + 54 + 54 + 2536 = 3405 мм;ok;"локальная модель, без API; ручной визуальный аудит"
188;CO_0048;5974;5,974;1044 + 2750 + 2180 = 5974 мм;ok;"локальная модель, без API; ручной визуальный аудит"
189;CO_0048;4888;4,888;80 + 391 + 459 + 274 + 313 + 309 + 181 + 134 + 212 + 274 + 358 + 1046 + 503 + 274 + 80 = 4888 мм;ok;"локальная модель, без API; авто: D1 вернул длину, D3 вернул длину; авто: D5 внутри D3; ручной визуальный аудит; авто: D5 вернул участок"
190;CO_0048;4497;4,497;1730 + 997 + 1650 + 120 = 4497 мм;ok;"локальная модель, без API; ручной визуальный аудит"
191;CO_0048;32282;32,282;1080 + 2825 + 3175 + 3000 + 530 + 3588 + 2942 + 4500 + 2562 + 1880 + 2585 + 1145 + 2350 + 120 = 32282 мм;ok;"локальная модель, без API; авто: D3 внутри D2; авто: D15 габарит пара; авто: D8 внутри D7; ручной визуальный аудит; авто: D8 вернул участок"
192;CO_0048;7770;7,770;900 + 1780 + 498 + 2192 + 470 + 181 + 134 + 205 + 530 + 606 + 274 = 7770 мм;ok;"локальная модель, без API; авто: D1 вернул длину, D2 вернул длину, D3 вернул длину; авто: D3 внутри D4; ручной визуальный аудит; авто: D3 вернул участок"
193;CO_0049;23868;23,868;1044 + 5324 + 7700 + 450 + 800 + 1450 + 1125 + 2825 + 3150 = 23868 мм;ok;"локальная модель, без API; авто: D6 внутри D7; ручной визуальный аудит"
194;CO_0049;20816;20,816;3000 + 430 + 3665 + 4500 + 2198 + 4588 + 2435 = 20816 мм;ok;"локальная модель, без API; авто: D7 внутри D8; авто: D2 внутри D4; ручной визуальный аудит; авто: D4 внутри D1, D2 вернул участок"
195;CO_0049;10942;10,942;2365 + 2700 + 1220 + 2100 + 223 + 578 + 1756 = 10942 мм;ok;"локальная модель, без API; авто: D4 вернул длину, D5 вернул длину, D6 вернул длину; ручной визуальный аудит; авто: D1 внутри D2"
196;CO_0068;10189;10,189;1044 + 5779 + 450 + 1186 + 1730 = 10189 мм;ok;"локальная модель, без API; ручной визуальный аудит"
197;CO_0068;4065;4,065;80 + 490 + 1046 + 345 + 233 + 181 + 134 + 300 + 313 + 459 + 404 + 80 = 4065 мм;ok;"локальная модель, без API; авто: D11 штурвал, D14 штурвал, D1 вернул длину; ручной визуальный аудит"
198;CO_0068;22089;22,089;1730 + 4247 + 2065 + 270 + 2246 + 9700 + 1711 + 120 = 22089 мм;ok;"локальная модель, без API; авто: D6 вернул участок; ручной визуальный аудит"
199;CO_0068;14718;14,718;1110 + 6720 + 1730 + 352 + 249 + 249 + 2440 + 530 + 181 + 134 + 470 + 279 + 274 = 14718 мм;ok;"локальная модель, без API; авто: D3 вернул длину, D4 вернул длину, D5 вернул длину, D6 вернул длину; авто: D11 внутри D8; ручной визуальный аудит; авто: D11 вернул участок"
200;CO_0069;9120;9,120;2656 + 2600 + 270 + 1954 + 1640 = 9120 мм;ok;"локальная модель, без API; авто: D5 вернул участок; авто: D5 координата; ручной визуальный аудит; авто: D5 координата"
201;CO_0069;11099;11,099;120 + 1245 + 6780 + 870 + 2084 = 11099 мм;ok;"локальная модель, без API; авто: D4 вернул длину, D5 вернул длину; ручной визуальный аудит"
202;CW_0001;3656;3,656;400 + 675 + 247 + 50 + 425 + 413 + 247 + 250 + 549 + 400 = 3656 мм;ok;"локальная модель, без API; авто: D10 штурвал, D7 вернул длину; ручной визуальный аудит"
203;CW_1007;1767;1,767;75 + 550 + 188 + 164 + 75 + 164 + 140 + 161 + 250 = 1767 мм;ok;"локальная модель, без API; авто: D5 внутри D4; ручной визуальный аудит"
204;CW_1008;2830;2,830;300 + 1200 + 247 + 200 + 247 + 50 + 186 + 400 = 2830 мм;ok;"локальная модель, без API; авто: D8 штурвал, D7 вернул длину, D9 вернул длину; ручной визуальный аудит"
205;CW_1009;2134;2,134;75 + 413 + 184 + 190 + 188 + 233 + 184 + 190 + 186 + 24 + 267 = 2134 мм;ok;"локальная модель, без API; авто: D11 вернул длину; ручной визуальный аудит; авто: D5 внутри D4"
206;CWRI_0001;11727;11,727;300 + 866 + 690 + 1100 + 1100 + 4405 + 364 + 2852 + 50 = 11727 мм;ok;"локальная модель, без API; авто: D3 штурвал, D12 штурвал, D7 вернул длину; ручной визуальный аудит; авто: D3 штурвал, D11 штурвал"
207;CWRI_0001;4853;4,853;250 + 1241 + 558 + 644 + 987 + 247 + 140 + 186 + 600 = 4853 мм;ok;"локальная модель, без API; авто: D3 внутри D5; ручной визуальный аудит"
208;CWRII_1003;6287;6,287;75 + 778 + 550 + 550 + 2441 + 164 + 140 + 200 + 885 + 164 + 140 + 50 + 150 = 6287 мм;ok;"локальная модель, без API; ручной визуальный аудит"
209;CWRII_1003;2922;2,922;75 + 80 + 243 + 1118 + 80 + 75 + 313 + 243 + 164 + 140 + 161 + 230 = 2922 мм;ok;"локальная модель, без API; авто: D9 внутри D10; ручной визуальный аудит"
210;CWRII_1004;11023;11,023;300 + 1697 + 1200 + 1200 + 3565 + 247 + 450 + 364 + 1703 + 247 + 50 = 11023 мм;ok;"локальная модель, без API; авто: D7 штурвал; ручной визуальный аудит"
211;CWRII_1004;3660;3,660;250 + 257 + 1324 + 519 + 737 + 247 + 140 + 186 = 3660 мм;ok;"локальная модель, без API; авто: D7 вернул длину, D8 вернул длину; авто: D6 внутри D7; ручной визуальный аудит"
212;CWRII_1005;7219;7,219;75 + 692 + 184 + 190 + 156 + 600 + 600 + 2807 + 1346 + 184 + 190 + 50 + 145 = 7219 мм;ok;"локальная модель, без API; ручной визуальный аудит"
213;CWRII_1005;3121;3,121;75 + 80 + 245 + 1310 + 80 + 75 + 460 + 200 + 184 + 190 + 198 + 24 = 3121 мм;ok;"локальная модель, без API; авто: D11 внутри D10, D15 вернул длину; авто: D9 внутри D10, D11 вернул участок; ручной визуальный аудит; авто: D11 внутри участка, D11 вернул участок; авто: D11 внутри участка, D11 вернул участок"
214;CO_0030;24406;24,406;2000 + 1900 + 1253 + 4000 + 4000 + 5372 + 5600 + 281 = 24406 мм;ok;"локальная модель, без API; авто: D9 вернул участок; авто: D5 внутри D7; ручной визуальный аудит; авто: D4 полный участок, D6 полный участок, D8 полный участок, D7 внутри D9"
215;CO_0030;18308;18,308;6000 + 3000 + 3200 + 2800 + 1550 + 354 + 250 + 250 + 904 = 18308 мм;ok;"локальная модель, без API; авто: D8 вернул длину, D9 вернул длину; авто: D4 внутри D3; ручной визуальный аудит; авто: D5 полный участок"
216;CO_0031;13788;13,788;1057 + 294 + 203 + 300 + 191 + 134 + 300 + 800 + 1704 + 1194 + 357 + 3150 + 904 + 3200 = 13788 мм;ok;"локальная модель, без API; авто: D13 внутри D12, D9 вернул длину, D10 вернул длину, D12 вернул длину; авто: D11 внутри D13, D13 вернул полный участок; ручной визуальный аудит; авто: D13 внутри участка, D11 вернул участок, D13 вернул участок; авто: D13 внутри участка, D13 вернул участок"
217;CO_0031;33557;33,557;3000 + 704 + 6000 + 5600 + 453 + 5200 + 748 + 4000 + 2748 + 4000 + 1104 = 33557 мм;ok;"локальная модель, без API; авто: D3 вернул участок; авто: D6 внутри D8, D9 внутри D7; ручной визуальный аудит; авто: D6 вернул участок, D9 вернул участок"
218;CO_0031;11168;11,168;100 + 428 + 449 + 294 + 303 + 334 + 194 + 244 + 203 + 294 + 303 + 1046 + 428 + 294 + 3104 + 1150 + 2000 = 11168 мм;ok;"локальная модель, без API; авто: D1 вернул длину, D3 вернул длину, D4 вернул длину; авто: D4 внутри D7, D10 внутри D12, D13 внутри D16, D15 вернул участок; ручной визуальный аудит; авто: D15 внутри участка, D4 вернул участок, D10 вернул участок, D13 вернул участок, D15 вернул участок; авто: D15 внутри участка, D15 вернул участок"
219;CW_1002;4066;4,066;417 + 750 + 251 + 146 + 450 + 450 + 251 + 146 + 50 + 712 + 30 + 413 = 4066 мм;ok;"локальная модель, без API; авто: D3 вернул длину, D5 вернул длину, D6 вернул длину, D10 вернул длину, D12 вернул длину, D13 вернул длину; авто: D10 внутри D6; ручной визуальный аудит"
220;CW_1003;2298;2,298;213 + 475 + 225 + 300 + 584 + 50 + 201 + 250 = 2298 мм;ok;"локальная модель, без API; авто: D5 штурвал; ручной визуальный аудит"
221;CW_1005;4302;4,302;375 + 675 + 274 + 140 + 525 + 525 + 274 + 140 + 50 + 275 + 599 + 450 = 4302 мм;ok;"локальная модель, без API; авто: D3 вернул длину, D5 вернул длину, D6 вернул длину, D12 вернул длину; ручной визуальный аудит"
222;CW_1006;3703;3,703;375 + 675 + 274 + 140 + 525 + 525 + 274 + 140 + 50 + 275 + 450 = 3703 мм;ok;"локальная модель, без API; авто: D5 вернул длину, D12 вернул длину; ручной визуальный аудит"
223;CWRI_1002;16555;16,555;554 + 461 + 251 + 146 + 4973 + 5300 + 1200 + 388 + 1601 + 280 + 1401 = 16555 мм;ok;"локальная модель, без API; авто: D1 вернул длину; ручной визуальный аудит"
224;CWRI_1002;3399;3,399;300 + 251 + 146 + 50 + 500 + 888 + 251 + 146 + 243 + 30 + 594 = 3399 мм;ok;"локальная модель, без API; авто: D6 вернул участок, D8 вернул длину, D10 вернул длину, D11 вернул длину, D12 вернул длину; авто: D6 внутри D7; ручной визуальный аудит"
225;CWRI_1003;10709;10,709;227 + 255 + 164 + 152 + 3364 + 3550 + 700 + 126 + 1707 + 164 + 50 + 250 = 10709 мм;ok;"локальная модель, без API; ручной визуальный аудит"
226;CWRI_1003;3184;3,184;80 + 221 + 1402 + 80 + 654 + 164 + 152 + 201 + 230 = 3184 мм;ok;"локальная модель, без API; авто: D11 внутри D6; авто: D10 внутри D11, D11 вернул полный участок; ручной визуальный аудит; авто: D3 опора, D8 опора, D9 опора, D11 внутри участка, D11 вернул полный участок; авто: D11 внутри участка, D11 вернул полный участок"
227;CWRII_1001;19800;19,800;657 + 558 + 274 + 140 + 6347 + 6800 + 1200 + 446 + 1751 + 307 + 1320 = 19800 мм;ok;"локальная модель, без API; авто: D1 вернул длину; ручной визуальный аудит"
228;CWRII_1001;4001;4,001;300 + 274 + 140 + 50 + 575 + 525 + 274 + 140 + 325 + 668 + 730 = 4001 мм;ok;"локальная модель, без API; авто: D7 вернул длину, D9 вернул длину, D10 вернул длину, D11 вернул длину; ручной визуальный аудит"
229;CWRII_1002;19775;19,775;657 + 558 + 274 + 140 + 6347 + 6800 + 1200 + 446 + 1751 + 307 + 1295 = 19775 мм;ok;"локальная модель, без API; ручной визуальный аудит"
230;CWRII_1002;4001;4,001;300 + 274 + 140 + 50 + 575 + 525 + 274 + 140 + 325 + 668 + 730 = 4001 мм;ok;"локальная модель, без API; авто: D7 вернул длину, D9 вернул длину, D10 вернул длину, D11 вернул длину; ручной визуальный аудит"
231;CW_1010;8118;8,118;176 + 677 + 179 + 152 + 2022 + 313 + 700 + 700 + 180 + 184 + 168 + 152 + 430 + 1835 + 250 = 8118 мм;ok;"локальная модель, без API; авто: D13 внутри D14; авто: D16 внутри D13, D13 вернул полный участок; ручной визуальный аудит; авто: D13 внутри участка, D13 вернул участок, D16 вернул участок; авто: D13 внутри участка, D13 вернул участок"
232;CWRI_1005;8289;8,289;217 + 753 + 164 + 152 + 237 + 700 + 700 + 679 + 164 + 152 + 2022 + 200 + 259 + 695 + 965 + 230 = 8289 мм;ok;"локальная модель, без API; авто: D15 внутри D16; ручной визуальный аудит"
233;CWRI_1005;4323;4,323;740 + 183 + 150 + 200 + 196 + 249 + 275 + 164 + 1149 + 164 + 623 + 230 = 4323 мм;ok;"локальная модель, без API; авто: D16 штурвал; авто: D17 внутри D18; авто: D6 внутри D8; ручной визуальный аудит; авто: D4 штурвал, D11 штурвал, D14 штурвал, D16 штурвал, D6 вернул участок, D7 вернул участок; авто: D7 штурвал"
234;CWRI_1018;10390;10,390;138 + 400 + 654 + 170 + 159 + 172 + 159 + 186 + 162 + 617 + 1349 + 2424 + 3800 = 10390 мм;ok;"локальная модель, без API; авто: D3 внутри D4; авто: D11 внутри D12; ручной визуальный аудит"
235;LC_1025;3328;3,328;400 + 422 + 724 + 335 + 150 + 168 + 165 + 168 + 631 + 165 = 3328 мм;ok;"локальная модель, без API; авто: D1 вернул длину; ручной визуальный аудит; авто: D5 штурвал"
236;LC_1025;3823;3,823;1053 + 335 + 300 + 150 + 178 + 172 + 170 + 169 + 336 + 180 + 298 + 482 = 3823 мм;ok;"локальная модель, без API; авто: D18 внутри D1; ручной визуальный аудит; авто: D6 опора, D7 штурвал, D9 опора, D11 опора, D14 опора, D16 опора, D19 опора, D18 вернул участок; авто: D18 внутри участка, D18 вернул участок"
237;P15_1026;2528;2,528;142 + 50 + 2336 = 2528 мм;ok;"локальная модель, без API; ручной визуальный аудит; авто: D2 габарит пара"
238;P15_1037;6880;6,880;2364 + 950 + 500 + 1250 + 198 + 224 + 228 + 200 + 168 + 146 + 178 + 210 + 264 = 6880 мм;ok;"локальная модель, без API; ручной визуальный аудит"
239;P15_1038;9558;9,558;2364 + 1100 + 1600 + 600 + 1100 + 210 + 50 + 2334 + 200 = 9558 мм;ok;"локальная модель, без API; ручной визуальный аудит; авто: D8 штурвал, D3 внутри D4"
240;P15_1038;6754;6,754;50 + 989 + 203 + 210 + 253 + 264 + 435 + 1936 + 228 + 210 + 228 + 1001 + 210 + 187 + 350 = 6754 мм;ok;"локальная модель, без API; авто: D2 внутри D3; ручной визуальный аудит; авто: D8 штурвал, D9 штурвал"
241;P15_1038;3790;3,790;50 + 211 + 245 + 275 + 168 + 146 + 950 + 168 + 146 + 275 + 229 + 210 + 493 + 224 = 3790 мм;ok;"локальная модель, без API; ручной визуальный аудит; авто: D3 габарит пара"
242;P15_1039;21956;21,956;730 + 174 + 1406 + 1900 + 150 + 1788 + 4072 + 599 + 3626 + 5644 + 1350 + 293 + 224 = 21956 мм;ok;"локальная модель, без API; авто: D3 внутри D4; ручной визуальный аудит"
243;P15_1040;2447;2,447;142 + 50 + 2255 = 2447 мм;ok;"локальная модель, без API; ручной визуальный аудит; авто: D2 габарит пара"
244;P15_1043;6770;6,770;2384 + 1000 + 500 + 1250 + 246 + 224 + 200 + 168 + 146 + 178 + 210 + 264 = 6770 мм;ok;"локальная модель, без API; ручной визуальный аудит; авто: D7 габарит пара"
245;P15_1044;5223;5,223;401 + 1065 + 708 + 1230 + 1200 + 619 = 5223 мм;ok;"локальная модель, без API; ручной визуальный аудит"
246;P15_1044;2236;2,236;26 + 416 + 154 + 168 + 166 + 168 + 355 + 188 + 154 + 441 = 2236 мм;ok;"локальная модель, без API; авто: D2 вернул участок; ручной визуальный аудит; авто: D7 штурвал, D9 штурвал, D11 штурвал, D16 штурвал, D14 внутри D15"
247;P15_1044;14373;14,373;2384 + 700 + 819 + 954 + 187 + 146 + 50 + 2129 + 397 + 242 + 2075 + 203 + 210 + 312 + 234 + 425 + 168 + 2421 + 317 = 14373 мм;ok;"локальная модель, без API; авто: D11 внутри D17, D19 внутри D18, D20 внутри D21; ручной визуальный аудит; авто: D19 внутри D18"
248;P15_1044;5409;5,409;198 + 561 + 300 + 198 + 317 + 275 + 168 + 146 + 1050 + 168 + 146 + 275 + 315 + 354 + 200 + 182 + 159 + 173 + 224 = 5409 мм;ok;"локальная модель, без API; авто: D1 штурвал, D5 штурвал, D18 штурвал; ручной визуальный аудит; авто: D1 штурвал, D5 штурвал, D8 штурвал, D18 штурвал"
249;P15_1044;0;0,000;нет включённых размеров;error;"локальная модель, без API; ручной визуальный аудит"
250;P15_1044;5391;5,391;163 + 283 + 200 + 200 + 430 + 1050 + 897 + 1735 + 182 + 251 = 5391 мм;ok;"локальная модель, без API; авто: D8 внутри D9; авто: D7 внутри D8; авто: D8 вернул полный участок; ручной визуальный аудит; авто: D8 внутри участка, D8 вернул полный участок; авто: D8 внутри участка, D8 вернул полный участок"
251;P15_1045;42148;42,148;3100 + 5100 + 300 + 5650 + 4750 + 21500 + 998 + 750 = 42148 мм;ok;"локальная модель, без API; авто: D4 вернул участок, D6 вернул участок, D12 вернул участок, D15 полный размер, D12 опора в D15, D13 опора в D15; авто: D15 габарит Н.О., D12 вернул участок, D13 вернул участок, D15 полный размер, D12 опора в D15, D13 опора в D15; авто: D15 габарит Н.О., D12 вернул участок, D13 вернул участок, D15 полный размер, D12 опора в D15, D13 опора в D15; авто: D15 габарит Н.О., D12 вернул участок, D13 вернул участок, D15 полный размер, D12 опора в D15, D13 опора в D15; авто: D15 габарит Н.О., D12 вернул участок, D13 вернул участок, D15 полный размер, D12 опора в D15, D13 опора в D15; авто: D15 габарит Н.О., D12 вернул участок, D13 вернул участок, D15 полный размер, D12 опора в D15, D13 опора в D15; авто: D15 габарит Н.О., D12 вернул участок, D13 вернул участок, D15 полный размер, D12 опора в D15, D13 опора в D15; авто: D15 габарит Н.О., D12 вернул участок, D13 вернул участок, D15 полный размер, D12 опора в D15, D13 опора в D15; авто: D15 габарит Н.О., D5 внутри D1, D8 внутри D9, D12 вернул участок, D13 вернул участок, D15 полный размер, D12 опора в D15, D13 опора в D15; авто: D15 габарит Н.О., D12 вернул участок, D13 вернул участок, D15 полный размер, D12 опора в D15, D13 опора в D15; авто: D15 габарит Н.О., D12 вернул участок, D13 вернул участок, D15 полный размер, D12 опора в D15, D13 опора в D15; ручной визуальный аудит; авто: D15 габарит Н.О., D18 габарит пара, D1 внутри D2, D10 внутри D15, D11 внутри D15, D14 внутри D15, D5 вернул участок, D17 вернул участок, D15 полный размер; авто: D15 габарит Н.О., D15 полный размер"
252;P22_1046;1170;1,170;138 + 230 + 471 + 331 = 1170 мм;ok;"локальная модель, без API; ручной визуальный аудит; авто: D5 штурвал, D7 штурвал"
253;P22_1046;2490;2,490;138 + 370 + 446 + 152 + 326 + 230 + 198 + 198 + 216 + 216 = 2490 мм;ok;"локальная модель, без API; ручной визуальный аудит"
254;P22_1046;10122;10,122;138 + 452 + 670 + 2269 + 3536 + 340 + 300 + 160 + 202 + 302 + 216 + 21 + 207 + 187 + 190 + 203 + 230 + 283 + 216 = 10122 мм;ok;"локальная модель, без API; авто: D7 вернул участок, D10 вернул участок, D13 вернул длину, D19 вернул длину, D21 вернул длину; авто: D10 внутри D9, D19 внутри D18; ручной визуальный аудит; авто: D11 полный участок, D20 полный участок, D13 вернул длину"
255;P22_1046;5838;5,838;216 + 216 + 198 + 350 + 334 + 1443 + 1524 + 318 + 228 + 213 + 190 + 228 + 380 = 5838 мм;ok;"локальная модель, без API; авто: D7 внутри D8; ручной визуальный аудит"
256;P22_1046;4419;4,419;80 + 1000 + 198 + 333 + 587 + 201 + 1739 + 201 + 80 = 4419 мм;ok;"локальная модель, без API; авто: D13 штурвал; авто: D10 внутри D11; ручной визуальный аудит; авто: D4 штурвал, D5 штурвал, D9 штурвал, D13 штурвал, D15 штурвал, D16 штурвал"
257;P22_1046;12175;12,175;353 + 457 + 201 + 190 + 948 + 536 + 432 + 1792 + 1000 + 2595 + 1500 + 225 + 459 + 600 + 263 + 624 = 12175 мм;ok;"локальная модель, без API; авто: D10 внутри D13, D15 внутри D18; ручной визуальный аудит; авто: D10 внутри D13, D14 вернул участок; авто: D14 внутри участка, D14 вернул участок"
258;P22_1046;14065;14,065;318 + 1002 + 201 + 2245 + 3810 + 600 + 198 + 400 + 4107 + 228 + 318 + 318 + 200 + 120 = 14065 мм;ok;"локальная модель, без API; авто: D18 штурвал; авто: D6 внутри D14, D12 внутри D14, D13 внутри D14, D15 внутри D16; ручной визуальный аудит; авто: D4 штурвал, D5 габарит пара, D7 штурвал, D17 штурвал, D18 штурвал, D6 внутри D14, D12 внутри D14, D13 внутри D14"
259;UA_1002;4990;4,990;248 + 1858 + 424 + 300 + 300 + 584 + 170 + 134 + 272 + 244 + 232 + 224 = 4990 мм;ok;"локальная модель, без API; авто: D6 внутри D7; ручной визуальный аудит"
260;UA_1002;12774;12,774;460 + 723 + 1984 + 1384 + 340 + 4064 + 406 + 1900 + 244 + 200 + 145 + 289 + 635 = 12774 мм;ok;"локальная модель, без API; авто: D14 внутри D15; авто: D5 внутри D2, D14 вернул участок; ручной визуальный аудит; авто: D10 штурвал, D14 внутри участка, D5 вернул участок, D14 вернул участок; авто: D14 внутри участка, D14 вернул участок"
261;UA_1003;811;0,811;141 + 171 + 159 + 181 + 159 = 811 мм;ok;"локальная модель, без API; ручной визуальный аудит"
262;UA_1003;11265;11,265;464 + 640 + 181 + 50 + 2138 + 213 + 274 + 173 + 600 + 384 + 1614 + 2280 + 340 + 1914 = 11265 мм;ok;"локальная модель, без API; авто: D7 внутри D2; ручной визуальный аудит; авто: D7 вернул участок"
263;UA_1003;18048;18,048;120 + 666 + 342 + 7080 + 656 + 2344 + 329 + 1150 + 2750 + 1081 + 765 + 765 = 18048 мм;ok;"локальная модель, без API; авто: D11 габарит пара; авто: D4 внутри D5, D8 внутри D9; ручной визуальный аудит"
264;UA_1003;23269;23,269;50 + 35 + 1484 + 750 + 5316 + 272 + 4478 + 5600 + 800 + 1284 + 403 + 610 + 304 + 206 + 274 + 128 + 327 + 521 + 202 + 150 + 75 = 23269 мм;ok;"локальная модель, без API; авто: D9 вернул участок; авто: D3 внутри D22, D7 внутри D14, D19 внутри D5; ручной визуальный аудит; авто: D21 штурвал, D3 внутри D22, D7 вернул участок, D19 вернул участок"
265;UA_1003;3967;3,967;183 + 299 + 164 + 1246 + 450 + 219 + 181 + 171 + 181 + 154 + 385 + 334 = 3967 мм;ok;"локальная модель, без API; ручной визуальный аудит; авто: D7 опора, D10 опора, D15 опора"
266;UA_1004;2341;2,341;139 + 50 + 2152 = 2341 мм;ok;"локальная модель, без API; авто: D2 габарит пара; ручной визуальный аудит; авто: D2 габарит пара"
267;UA_1006;2813;2,813;448 + 570 + 1000 + 795 = 2813 мм;ok;"локальная модель, без API; ручной визуальный аудит"
268;CO_0091;18000;18,000;580 + 3200 + 6800 + 1522 + 1450 + 900 + 2435 + 223 + 665 + 225 = 18000 мм;ok;"локальная модель, без API; авто: D13 внутри D11, D5 вернул длину, D6 вернул длину, D11 вернул длину, D12 вернул длину; авто: D12 внутри D6; авто: D11 внутри D12, D12 вернул полный участок, D13 вернул участок; ручной визуальный аудит; авто: D14 штурвал, D5 внутри D6, D7 внутри D8, D12 внутри участка, D13 внутри участка, D12 вернул полный участок, D13 вернул участок; авто: D12 внутри участка, D13 внутри участка, D12 вернул полный участок, D13 вернул участок"
269;CO_0091;4318;4,318;167 + 134 + 290 + 550 + 223 + 244 + 198 + 783 + 244 + 985 + 500 = 4318 мм;ok;"локальная модель, без API; авто: D4 вернул участок, D11 вернул длину; авто: D1 внутри D4, D2 внутри D6; ручной визуальный аудит; авто: D1 внутри D4"
270;CO_0103;9092;9,092;942 + 8150 = 9092 мм;ok;"локальная модель, без API; авто: D4 вернул участок; авто: D2 внутри D4; ручной визуальный аудит; авто: D3 внутри D4"
271;HI_0001;11902;11,902;1250 + 3850 + 2009 + 1950 + 950 + 900 + 750 + 243 = 11902 мм;ok;"локальная модель, без API; авто: D9 внутри D6; авто: D3 внутри D4, D9 вернул полный участок; ручной визуальный аудит; авто: D1 опора, D12 опора, D13 опора, D9 внутри участка, D9 вернул полный участок; авто: D9 внутри участка, D9 вернул полный участок"
272;HI_0001;32641;32,641;75 + 900 + 300 + 550 + 2973 + 3027 + 7550 + 400 + 9100 + 740 + 3016 + 3010 + 955 + 45 = 32641 мм;ok;"локальная модель, без API; авто: D11 вернул участок, D15 вернул участок; авто: D12 вернул участок; авто: D11 внутри D12; авто: D9 внутри D12, D14 внутри D11, D15 внутри D13, D11 вернул полный участок, D13 вернул полный участок; ручной визуальный аудит; авто: D10 внутри D12, D11 внутри D12, D13 внутри участка, D13 вернул полный участок, D14 вернул участок; авто: D13 внутри участка, D13 вернул полный участок"
273;HI_0001;5643;5,643;120 + 700 + 201 + 2240 + 212 + 380 + 32 + 268 + 1410 + 80 = 5643 мм;ok;"локальная модель, без API; авто: D2 вернул длину, D3 вернул длину, D4 вернул длину, D8 вернул длину; авто: D2 внутри D3; ручной визуальный аудит; авто: D5 штурвал, D11 штурвал"
274;HI_0001;12221;12,221;220 + 420 + 201 + 2239 + 200 + 790 + 198 + 258 + 318 + 470 + 400 + 3406 + 904 + 1454 + 201 + 224 + 318 = 12221 мм;ok;"локальная модель, без API; авто: D18 штурвал, D3 внутри D2, D1 вернул длину, D2 вернул длину; авто: D15 внутри D14; ручной визуальный аудит; авто: D4 штурвал, D18 штурвал, D3 вернул участок, D15 вернул участок; авто: D3 внутри участка, D3 вернул участок"
275;HI_0001;8674;8,674;258 + 790 + 198 + 241 + 550 + 2384 + 201 + 50 + 2498 + 200 + 463 + 380 + 201 + 241 + 19 = 8674 мм;ok;"локальная модель, без API; авто: D11 штурвал, D25 штурвал, D9 внутри D10, D1 вернул длину, D13 вернул длину, D17 вернул длину, D18 вернул длину, D30 вернул длину; авто: D7 внутри D2, D17 внутри D19, D20 внутри D25, D30 внутри D15, D9 вернул участок; ручной визуальный аудит; авто: D4 штурвал, D8 штурвал, D11 штурвал, D12 толщина изоляции, D14 штурвал, D22 штурвал, D23 полный участок, D25 штурвал, D9 внутри участка, D9 вернул участок, D17 вернул участок, D30 вернул длину; авто: D9 внутри участка, D9 вернул участок"
276;HI_0001;24011;24,011;198 + 201 + 190 + 250 + 120 + 1847 + 700 + 895 + 13950 + 2000 + 3660 = 24011 мм;ok;"локальная модель, без API; авто: D10 внутри D9; ручной визуальный аудит; авто: D12 полный размер, D9 опора в D12, D11 опора в D12; авто: D12 габарит Н.О., D9 вернул полный участок, D11 вернул участок, D12 полный размер, D9 опора в D12, D11 опора в D12"
277;IA_0001;28019;28,019;1600 + 11000 + 2450 + 2100 + 950 + 350 + 6023 + 1210 + 480 + 218 + 1406 + 232 = 28019 мм;ok;"локальная модель, без API; авто: D3 вернул участок, D4 вернул участок; авто: D2 внутри D4, D3 внутри D4, D7 внутри D8, D9 внутри D10, D12 внутри D13; ручной визуальный аудит; авто: D16 габарит пара"
;итого;4087287;4087,287;;;
